店名,情報,リンク
ゲーマーズ沼津店,メンバー／津島善子 住所／沼津市添地町72青秀ビル1階 営業時間／平日 11:00～20:00 土日祝 10:00～20:00 定休日／なし 店舗のホームページを見る,
安田屋旅館,メンバー／高海千歌 住所／沼津市内浦三津19 営業時間／12:00～20:00 定休日／不定休 店舗のホームページを見る,
松月,メンバー／国木田花丸 住所／沼津市内浦88-36 営業時間／10:00～17:00 定休日／火・水曜日 店舗のホームページを見る,
SUN!SUN!サンシャインCAFE（雄大フェスタ）,メンバー／黒澤ダイヤ 住所／沼津市大手町3-1-1 営業時間／平日 11:00～20:30 土日祝 10:00～20:30 定休日／なし 店舗のホームページを見る,
オーシャンビューフジミ,メンバー／松浦果南 住所／沼津市西浦江梨993 営業時間／平日 10:30～14:30 土日祝 10:00～14:30 定休日／なし 店舗のホームページを見る,
淡島ホテル,メンバー／小原鞠莉 住所／沼津市内浦重寺186 営業時間／9:30～17:00（最終入園15:30） 定休日／なし 店舗のホームページを見る,
伊豆三津シーパラダイス,メンバー／渡辺曜 住所／沼津市内浦長浜3-1 営業時間／9:00～17:00（最終入館16:00） 定休日／なし 店舗のホームページを見る,
三の浦総合案内所,メンバー／黒澤ルビィ 住所／沼津市内浦長浜83-124 営業時間／9:00～16:00  定休日／なし,
千鳥観光汽船㈱,メンバー／桜内梨子 住所／沼津市内浦三津43-7 営業時間／8:00～17:00 定休日／なし 店舗のホームページを見る,
JAなんすん（沼津みなと新鮮館内）,メンバー／高海千歌 住所／沼津市千本港町128-1　沼津みなと新鮮館内 営業時間／9:30～16:30 定休日／第2第4火曜日 店舗のホームページを見る,
あわしまマリンパーク,メンバー／松浦果南 住所／沼津市内浦重寺186 営業時間／9:30～17:00（最終入園15:30） 定休日／なし 店舗のホームページを見る,
つじ写真館,メンバー／津島善子 住所／沼津市上土町36 営業時間／平日　9:30～19:00 日祝　9:30～18:00 定休日／水曜日 店舗のホームページを見る,
JEWELRY＆WATCH 市川,メンバー／黒澤ダイヤ 住所／沼津市上土町100-1 営業時間／10:00～19:00 定休日／水曜日 ,
浜忠,メンバー／黒澤ルビィ 住所／沼津市上土町80 営業時間／昼　11:30～15:00 夜　17:00～22:00 定休日／月曜日 ※スタンプ店内設置の為、営業時間内にお越しください。 店舗のホームページを見る,
